Pinger Start in Client Mode
size=20 bytes from=10.0.0.2 seq=0 rtt=91
size=20 bytes from=10.0.0.2 seq=1 rtt=84
size=20 bytes from=10.0.0.2 seq=2 rtt=81
size=20 bytes from=10.0.0.2 seq=3 rtt=81
size=20 bytes from=10.0.0.2 seq=4 rtt=81
size=20 bytes from=10.0.0.2 seq=5 rtt=81
size=20 bytes from=10.0.0.2 seq=6 rtt=82
size=20 bytes from=10.0.0.2 seq=7 rtt=81
size=20 bytes from=10.0.0.2 seq=8 rtt=81
size=20 bytes from=10.0.0.2 seq=9 rtt=81
size=20 bytes from=10.0.0.2 seq=10 rtt=82
size=20 bytes from=10.0.0.2 seq=11 rtt=81
size=20 bytes from=10.0.0.2 seq=12 rtt=81
size=20 bytes from=10.0.0.2 seq=13 rtt=81
size=20 bytes from=10.0.0.2 seq=14 rtt=81
size=20 bytes from=10.0.0.2 seq=15 rtt=82
size=20 bytes from=10.0.0.2 seq=16 rtt=81
size=20 bytes from=10.0.0.2 seq=17 rtt=81
size=20 bytes from=10.0.0.2 seq=18 rtt=81
size=20 bytes from=10.0.0.2 seq=19 rtt=81
sent=20 received=20 lost=0.00% rtt min/avg/max=81/81.80/91
